belongs_to_collection,budget,popularity,production_countries,runtime,spoken_languages,vote_average,vote_count,year,cast_size,crew_size,is_english,is_non-popular_production,is_Animation,is_Comedy,is_Family,is_Adventure,is_Fantasy,is_Drama,is_Romance,is_Action,is_Crime,is_Thriller,is_History,is_Science Fiction,is_Mystery,is_Horror,is_War,is_Music,is_non-popular_director,is_Friday,is_Holiday
1,30000000.0,21.946943,28,81.0,1,7.7,5415.0,1995.0,13,106,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,65000000.0,17.015539,28,104.0,2,6.9,2413.0,1995.0,26,16,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,16000000.0,3.859495,28,127.0,1,6.1,34.0,1995.0,10,10,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,1,0
1,60000000.0,17.924927,28,170.0,2,7.7,1886.0,1995.0,65,71,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0
1,35000000.0,5.23158,28,106.0,1,5.5,174.0,1995.0,6,9,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1,58000000.0,14.686035999999998,46,130.0,3,6.6,1194.0,1995.0,20,46,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1,62000000.0,6.318445,28,106.0,1,6.5,199.0,1995.0,18,6,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
1,44000000.0,5.092,28,192.0,1,7.1,72.0,1995.0,34,8,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1,98000000.0,7.284477000000001,58,119.0,2,5.7,137.0,1995.0,31,16,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,52000000.0,10.137389,38,178.0,1,7.8,1343.0,1995.0,45,10,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
