,belongs_to_collection,budget,genres,homepage,original_language,popularity,production_companies,production_countries,runtime,spoken_languages,title,vote_average,vote_count,year,day,month,cast,cast_size,crew_size,director
0,"{'id': 10194, 'name': 'Toy Story Collection', 'poster_path': '/7G9915LfUQ2lVfwMEEhDsn3kT4B.jpg', 'backdrop_path': '/9FBwqcd9IRruEDUrTdcaafOMKUq.jpg'}",30000000.0,"['Animation', 'Comedy', 'Family']",http://toystory.disney.com/toy-story,en,21.946943,['Pixar Animation Studios'],['United States of America'],81.0,1,Toy Story,7.7,5415.0,1995.0,Mon,Oct,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn', 'John Ratzenberger', 'Annie Potts', 'John Morris', 'Erik von Detten', 'Laurie Metcalf', 'R. Lee Ermey', 'Sarah Freeman', 'Penn Jillette']",13,106,John Lasseter
1,,65000000.0,"['Adventure', 'Fantasy', 'Family']",,en,17.015539,"['TriStar Pictures', 'Teitler Film', 'Interscope Communications']",['United States of America'],104.0,2,Jumanji,6.9,2413.0,1995.0,Fri,Dec,"['Robin Williams', 'Jonathan Hyde', 'Kirsten Dunst', 'Bradley Pierce', 'Bonnie Hunt', 'Bebe Neuwirth', 'David Alan Grier', 'Patricia Clarkson', 'Adam Hann-Byrd', 'Laura Bell Bundy', 'James Handy', 'Gillian Barber', 'Brandon Obray', 'Cyrus Thiedeke', 'Gary Joseph Thorup', 'Leonard Zola', 'Lloyd Berry', 'Malcolm Stewart', 'Annabel Kershaw', 'Darryl Henriques', 'Robyn Driscoll', 'Peter Bryant', 'Sarah Gilson', 'Florica Vlad', 'June Lion', 'Brenda Lockmuller']",26,16,Joe Johnston
3,,16000000.0,"['Comedy', 'Drama', 'Romance']",,en,3.859495,['Twentieth Century Fox Film Corporation'],['United States of America'],127.0,1,Waiting to Exhale,6.1,34.0,1995.0,Fri,Dec,"['Whitney Houston', 'Angela Bassett', 'Loretta Devine', 'Lela Rochon', 'Gregory Hines', 'Dennis Haysbert', 'Michael Beach', 'Mykelti Williamson', 'Lamont Johnson', 'Wesley Snipes']",10,10,Forest Whitaker
5,,60000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",,en,17.924927,"['Regency Enterprises', 'Forward Pass', 'Warner Bros.']",['United States of America'],170.0,2,Heat,7.7,1886.0,1995.0,Fri,Dec,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight', 'Tom Sizemore', 'Diane Venora', 'Amy Brenneman', 'Ashley Judd', 'Mykelti Williamson', 'Natalie Portman', 'Ted Levine', 'Tom Noonan', 'Tone Loc', 'Hank Azaria', 'Wes Studi', 'Dennis Haysbert', 'Danny Trejo', 'Henry Rollins', 'William Fichtner', 'Kevin Gage', 'Susan Traylor', 'Jerry Trimble', 'Ricky Harris', 'Jeremy Piven', 'Xander Berkeley', 'Begonya Plaza', 'Rick Avery', 'Hazelle Goodman', 'Ray Buktenica', 'Max Daniels', 'Vince Deadrick Jr.', 'Steven Ford', 'Farrah Forke', 'Patricia Healy', 'Paul Herman', 'Cindy Katz', 'Brian Libby', 'Dan Martin', 'Mario Roberts', 'Thomas Rosales, Jr.', 'Yvonne Zima', 'Mick Gould', 'Bud Cort', 'Viviane Vives', 'Kim Staunton', 'Martin Ferrero', 'Brad Baldridge', 'Andrew Camuccio', 'Kenny Endoso', 'Kimberly Flynn', 'Niki Harris', 'Bill McIntosh', 'Rick Marzan', 'Terry Miller', ""Daniel O'Haco"", 'Kai Soremekun', 'Peter Blackwell', 'Trevor Coppola', 'Mary Kircher', 'Darin Mangan', 'Robert Miranda', 'Manny Perry', 'Iva Franks Singer', 'Tim Werner', 'Philip Ettington']",65,71,Michael Mann
8,,35000000.0,"['Action', 'Adventure', 'Thriller']",,en,5.23158,"['Universal Pictures', 'Imperial Entertainment', 'Signature Entertainment']",['United States of America'],106.0,1,Sudden Death,5.5,174.0,1995.0,Fri,Dec,"['Jean-Claude Van Damme', 'Powers Boothe', 'Dorian Harewood', 'Raymond J. Barry', 'Ross Malinger', 'Whittni Wright']",6,9,Peter Hyams
9,"{'id': 645, 'name': 'James Bond Collection', 'poster_path': '/HORpg5CSkmeQlAolx3bKMrKgfi.jpg', 'backdrop_path': '/6VcVl48kNKvdXOZfJPdarlUGOsk.jpg'}",58000000.0,"['Adventure', 'Action', 'Thriller']",http://www.mgm.com/view/movie/757/Goldeneye/,en,14.686035999999998,"['United Artists', 'Eon Productions']","['United Kingdom', 'United States of America']",130.0,3,GoldenEye,6.6,1194.0,1995.0,Thu,Nov,"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen', 'Joe Don Baker', 'Judi Dench', 'Gottfried John', 'Robbie Coltrane', 'Alan Cumming', 'Tchéky Karyo', 'Desmond Llewelyn', 'Samantha Bond', 'Michael Kitchen', 'Serena Gordon', 'Simon Kunz', 'Billy J. Mitchell', 'Constantine Gregory', 'Minnie Driver', 'Michelle Arthur', 'Ravil Isyanov']",20,46,Martin Campbell
10,,62000000.0,"['Comedy', 'Drama', 'Romance']",,en,6.318445,"['Columbia Pictures', 'Castle Rock Entertainment']",['United States of America'],106.0,1,The American President,6.5,199.0,1995.0,Fri,Nov,"['Michael Douglas', 'Annette Bening', 'Michael J. Fox', 'Martin Sheen', 'Anna Deavere Smith', 'Shawna Waldron', 'Samantha Mathis', 'David Paymer', 'Richard Dreyfuss', 'Nina Siemaszko', 'Wendie Malick', 'Beau Billingslea', 'Gail Strickland', 'Joshua Malina', 'Clement von Franckenstein', 'John Mahoney', 'John Mahon', 'Gabriel Jarret']",18,6,Rob Reiner
13,,44000000.0,"['History', 'Drama']",,en,5.092,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']",['United States of America'],192.0,1,Nixon,7.1,72.0,1995.0,Fri,Dec,"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris', 'Bob Hoskins', 'E.G. Marshall', 'David Paymer', 'David Hyde Pierce', 'Paul Sorvino', 'Mary Steenburgen', 'J.T. Walsh', 'James Woods', 'Brian Bedford', 'Kevin Dunn', 'Fyvush Finkel', 'Annabeth Gish', 'Larry Hagman', 'Madeline Kahn', 'Dan Hedaya', 'Bridgette Wilson', 'Tom Bower', 'Tony Goldwyn', 'Edward Herrmann', 'Tony Lo Bianco', 'Saul Rubinek', 'Robert Beltran', 'John Cunningham', 'John Diehl', 'John C. McGinley', 'Michael Chiklis', 'Ric Young', 'Boris Sichkin', 'Sam Waterston', 'Marley Shelton']",34,8,Oliver Stone
14,,98000000.0,"['Action', 'Adventure']",,en,7.284477000000001,"['Le Studio Canal+', 'Laurence Mark Productions', 'Metro-Goldwyn-Mayer (MGM)', 'Carolco Pictures']","['France', 'Germany', 'Italy', 'United States of America']",119.0,2,Cutthroat Island,5.7,137.0,1995.0,Fri,Dec,"['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide', 'Stan Shaw', 'Rex Linn', 'Paul Dillon', 'Christopher Masterson', 'Jimmie F. Skaggs', 'Harris Yulin', 'Carl Chase', 'Peter Geeves', 'Angus Wright', 'Ken Bones', 'Mary Peach', 'Thomas Lockyer', 'Roger Booth', 'George Murcell', 'Simon Atherton', 'Dickey Beer', 'Christopher Halliday', 'Chris Johnston', 'Richard Leaf', 'Tam White', 'Rupert Vansittart', 'Nick Bartlett', 'David Bailie', 'Kwame Kwei-Armah', 'Ramon Tikaram', 'Christopher Adamson']",31,16,Renny Harlin
15,,52000000.0,"['Drama', 'Crime']",,en,10.137389,"['Universal Pictures', 'Légende Entreprises', 'Syalis DA', 'De Fina-Cappa']","['France', 'United States of America']",178.0,1,Casino,7.8,1343.0,1995.0,Wed,Nov,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles', 'Alan King', 'Kevin Pollak', 'Pasquale Cajano', 'L.Q. Jones', 'Dick Smothers', 'Frank Vincent', 'Oscar Goodman', 'Richard Riehle', 'Catherine Scorsese', 'Vinny Vella', 'Nobu Matsuhisa', 'Erika von Tagen', 'Nick Mazzola', 'David Rose', 'John Bloom', 'Joseph Rigano', 'Philip Suriano', 'Melissa Prophet', 'Bill Allison', 'Joe La Due', 'Joseph P. Reidy', 'Craig Vincent', 'Carl Ciarfalio', 'Gene Ruffini', 'Dominick Grieco', 'Clem Caserta', 'Daniel P. Conte', 'Joey DePinto', 'Jack Orend', 'Paul Herman', 'Jed Mills', 'Claudia Haro', 'Ffolliott Le Coque', 'John Manca', 'Ronald Maccone', 'Joseph Bono', 'Frank Adonis', 'Anthony Russell', 'Stuart Nisbet', 'Alfred Nittoli']",45,10,Martin Scorsese
